sid,rank,year,source
1,1,1965,3
2,2,1965,1
3,3,1965,1
4,4,1965,1
5,5,1965,1
6,6,1965,1
7,7,1965,3
8,8,1965,5
9,9,1965,1
10,10,1965,3
11,11,1965,3
12,12,1965,1
13,13,1965,3
14,14,1965,1
15,15,1965,3
16,16,1965,3
17,17,1965,3
18,18,1965,3
19,19,1965,1
20,20,1965,1
21,21,1965,1
22,22,1965,1
23,23,1965,1
24,24,1965,3
25,25,1965,1
26,26,1965,3
27,27,1965,5
28,28,1965,1
29,29,1965,1
30,30,1965,3
31,31,1965,3
32,32,1965,3
33,33,1965,1
34,34,1965,3
35,35,1965,3
36,36,1965,1
37,37,1965,1
38,38,1965,1
39,39,1965,3
40,40,1965,1
41,41,1965,1
42,42,1965,NA
43,43,1965,3
44,44,1965,1
45,45,1965,NA
46,46,1965,NA
47,47,1965,3
48,48,1965,3
49,49,1965,3
50,50,1965,3
51,51,1965,1
52,52,1965,1
53,53,1965,3
54,54,1965,3
55,55,1965,3
56,56,1965,3
57,57,1965,3
58,58,1965,1
59,59,1965,3
60,60,1965,3
61,61,1965,3
62,62,1965,3
63,63,1965,1
64,64,1965,1
65,65,1965,5
66,66,1965,1
67,67,1965,1
68,68,1965,3
69,69,1965,3
70,70,1965,3
71,71,1965,3
72,72,1965,5
73,73,1965,1
74,74,1965,1
75,75,1965,3
76,76,1965,3
77,77,1965,5
78,78,1965,3
79,79,1965,1
80,80,1965,3
81,81,1965,3
82,82,1965,3
83,83,1965,1
84,84,1965,NA
85,85,1965,1
86,86,1965,1
87,87,1965,3
88,88,1965,3
89,89,1965,3
90,90,1965,1
91,91,1965,3
92,92,1965,3
93,93,1965,3
94,94,1965,3
95,95,1965,3
96,96,1965,3
97,97,1965,NA
98,98,1965,3
99,99,1965,1
100,100,1965,1
101,1,1966,NA
102,2,1966,3
103,3,1966,1
104,4,1966,1
105,5,1966,3
106,6,1966,3
107,7,1966,3
108,8,1966,1
109,9,1966,1
110,10,1966,3
111,11,1966,1
112,12,1966,3
113,13,1966,1
114,14,1966,1
115,15,1966,1
116,16,1966,3
117,17,1966,3
118,18,1966,3
119,19,1966,3
120,20,1966,1
121,21,1966,3
122,22,1966,1
123,23,1966,1
124,24,1966,1
125,25,1966,3
126,26,1966,1
127,27,1966,1
128,28,1966,3
129,29,1966,3
130,30,1966,1
131,31,1966,3
132,32,1966,NA
133,33,1966,3
134,34,1966,3
135,35,1966,1
136,36,1966,1
137,37,1966,1
138,38,1966,3
139,39,1966,1
140,40,1966,1
141,41,1966,3
142,42,1966,1
143,43,1966,1
144,44,1966,1
145,45,1966,3
146,46,1966,5
147,47,1966,1
148,48,1966,1
149,49,1966,1
150,50,1966,1
151,51,1966,3
152,52,1966,1
153,53,1966,1
154,54,1966,3
155,55,1966,3
156,56,1966,3
157,57,1966,3
158,58,1966,3
159,59,1966,1
160,60,1966,3
161,61,1966,3
162,62,1966,3
163,63,1966,1
164,64,1966,3
165,65,1966,3
166,66,1966,NA
167,67,1966,3
168,68,1966,1
169,69,1966,3
170,70,1966,1
171,71,1966,3
172,72,1966,1
173,73,1966,1
174,74,1966,1
175,75,1966,1
176,76,1966,3
177,77,1966,1
178,78,1966,1
179,79,1966,3
180,80,1966,1
181,81,1966,1
182,82,1966,3
183,83,1966,1
184,84,1966,1
185,85,1966,3
186,86,1966,3
187,87,1966,3
188,88,1966,1
189,89,1966,1
190,90,1966,3
191,91,1966,1
192,92,1966,1
193,93,1966,NA
194,94,1966,3
195,95,1966,1
196,96,1966,3
197,97,1966,3
198,98,1966,1
199,99,1966,3
200,100,1966,NA
201,1,1967,1
202,2,1967,1
203,3,1967,1
204,4,1967,3
205,5,1967,3
206,6,1967,1
207,7,1967,3
208,8,1967,3
209,9,1967,3
210,10,1967,1
211,11,1967,3
212,12,1967,5
213,13,1967,1
214,14,1967,1
215,15,1967,1
216,16,1967,1
217,17,1967,1
218,18,1967,3
219,19,1967,3
220,20,1967,3
221,21,1967,3
222,22,1967,5
223,23,1967,1
224,24,1967,3
225,25,1967,1
226,26,1967,1
227,27,1967,1
228,28,1967,1
229,29,1967,1
230,30,1967,3
231,31,1967,1
232,32,1967,3
233,33,1967,1
234,34,1967,3
235,35,1967,1
236,36,1967,3
237,37,1967,3
238,38,1967,1
239,39,1967,1
240,40,1967,3
241,41,1967,1
242,42,1967,3
243,43,1967,3
244,44,1967,1
245,45,1967,3
246,46,1967,3
247,47,1967,3
248,48,1967,3
249,49,1967,3
250,50,1967,1
251,51,1967,1
252,52,1967,1
253,53,1967,1
254,54,1967,5
255,55,1967,3
256,56,1967,1
257,57,1967,3
258,58,1967,3
259,59,1967,1
260,60,1967,3
261,61,1967,1
262,62,1967,3
263,63,1967,3
264,64,1967,3
265,65,1967,1
266,66,1967,3
267,67,1967,1
268,68,1967,3
269,69,1967,3
270,70,1967,5
271,71,1967,3
272,72,1967,NA
273,73,1967,1
274,74,1967,3
275,75,1967,1
276,76,1967,1
277,77,1967,1
278,78,1967,1
279,79,1967,1
280,80,1967,1
281,81,1967,1
282,82,1967,1
283,83,1967,3
284,84,1967,3
285,85,1967,1
286,86,1967,1
287,87,1967,5
288,88,1967,1
289,89,1967,3
290,90,1967,3
291,91,1967,3
292,92,1967,NA
293,93,1967,1
294,94,1967,3
295,95,1967,1
296,96,1967,1
297,97,1967,1
298,98,1967,3
299,99,1967,1
300,100,1967,1
301,1,1968,3
302,2,1968,3
303,3,1968,1
304,4,1968,1
305,5,1968,1
306,6,1968,1
307,7,1968,3
308,8,1968,3
309,9,1968,3
310,10,1968,3
311,11,1968,1
312,12,1968,3
313,13,1968,3
314,14,1968,1
315,15,1968,3
316,16,1968,1
317,17,1968,3
318,18,1968,1
319,19,1968,3
320,20,1968,3
321,21,1968,3
322,22,1968,3
323,23,1968,NA
324,24,1968,3
325,25,1968,3
326,26,1968,1
327,27,1968,1
328,28,1968,3
329,29,1968,1
330,30,1968,1
331,31,1968,1
332,32,1968,1
333,33,1968,1
334,34,1968,3
335,35,1968,1
336,36,1968,3
337,37,1968,3
338,38,1968,3
339,39,1968,3
340,40,1968,1
341,41,1968,5
342,42,1968,3
343,43,1968,3
344,44,1968,1
345,45,1968,NA
346,46,1968,1
347,47,1968,3
348,48,1968,3
349,49,1968,3
350,50,1968,3
351,51,1968,1
352,52,1968,3
353,53,1968,3
354,54,1968,1
355,55,1968,1
356,56,1968,1
357,57,1968,5
358,58,1968,1
359,59,1968,1
360,60,1968,3
361,61,1968,1
362,62,1968,1
363,63,1968,3
364,64,1968,1
365,65,1968,3
366,66,1968,1
367,67,1968,1
368,68,1968,3
369,69,1968,3
370,70,1968,1
371,71,1968,3
372,72,1968,NA
373,73,1968,3
374,74,1968,NA
375,75,1968,NA
376,76,1968,3
377,77,1968,1
378,78,1968,3
379,79,1968,3
380,80,1968,3
381,81,1968,1
382,82,1968,NA
383,83,1968,NA
384,84,1968,3
385,85,1968,3
386,86,1968,3
387,87,1968,1
388,88,1968,1
389,89,1968,3
390,90,1968,5
391,91,1968,3
392,92,1968,3
393,93,1968,1
394,94,1968,1
395,95,1968,3
396,96,1968,3
397,97,1968,1
398,98,1968,3
399,99,1968,1
400,100,1968,1
401,1,1969,1
402,2,1969,3
403,3,1969,1
404,4,1969,3
405,5,1969,3
406,6,1969,3
407,7,1969,3
408,8,1969,1
409,9,1969,1
410,10,1969,3
411,11,1969,1
412,12,1969,3
413,13,1969,3
414,14,1969,1
415,15,1969,1
416,16,1969,1
417,17,1969,1
418,18,1969,1
419,19,1969,1
420,20,1969,NA
421,21,1969,1
422,22,1969,1
423,23,1969,3
424,24,1969,1
425,25,1969,3
426,26,1969,3
427,27,1969,3
428,28,1969,1
429,29,1969,3
430,30,1969,1
431,31,1969,1
432,32,1969,1
433,33,1969,1
434,34,1969,1
435,35,1969,1
436,36,1969,1
437,37,1969,NA
438,38,1969,1
439,39,1969,1
440,40,1969,3
441,41,1969,5
442,42,1969,5
443,43,1969,1
444,44,1969,3
445,45,1969,5
446,46,1969,1
447,47,1969,3
448,48,1969,1
449,49,1969,1
450,50,1969,1
451,51,1969,1
452,52,1969,1
453,53,1969,1
454,54,1969,1
455,55,1969,1
456,56,1969,3
457,57,1969,3
458,58,1969,1
459,59,1969,1
460,60,1969,1
461,61,1969,1
462,62,1969,1
463,63,1969,NA
464,64,1969,3
465,65,1969,3
466,66,1969,3
467,67,1969,1
468,68,1969,1
469,69,1969,1
470,70,1969,5
471,71,1969,3
472,72,1969,1
473,73,1969,1
474,74,1969,3
475,75,1969,3
476,76,1969,3
477,77,1969,1
478,78,1969,NA
479,79,1969,1
480,80,1969,3
481,81,1969,1
482,82,1969,1
483,83,1969,3
484,84,1969,3
485,85,1969,3
486,86,1969,3
487,87,1969,NA
488,88,1969,1
489,89,1969,3
490,90,1969,NA
491,91,1969,1
492,92,1969,NA
493,93,1969,3
494,94,1969,1
495,95,1969,3
496,96,1969,3
497,97,1969,1
498,98,1969,1
499,99,1969,1
500,100,1969,3
501,1,1970,3
502,2,1970,1
503,3,1970,3
504,4,1970,1
505,5,1970,1
506,6,1970,1
507,7,1970,1
508,8,1970,1
509,9,1970,1
510,10,1970,1
511,11,1970,1
512,12,1970,1
513,13,1970,1
514,14,1970,1
515,15,1970,3
516,16,1970,3
517,17,1970,1
518,18,1970,3
519,19,1970,3
520,20,1970,3
521,21,1970,3
522,22,1970,1
523,23,1970,1
524,24,1970,1
525,25,1970,NA
526,26,1970,3
527,27,1970,3
528,28,1970,3
529,29,1970,5
530,30,1970,1
531,31,1970,1
532,32,1970,3
533,33,1970,1
534,34,1970,1
535,35,1970,1
536,36,1970,1
537,37,1970,3
538,38,1970,NA
539,39,1970,3
540,40,1970,3
541,41,1970,3
542,42,1970,1
543,43,1970,1
544,44,1970,1
545,45,1970,3
546,46,1970,1
547,47,1970,3
548,48,1970,1
549,49,1970,3
550,50,1970,3
551,51,1970,1
552,52,1970,3
553,53,1970,1
554,54,1970,1
555,55,1970,1
556,56,1970,1
557,57,1970,3
558,58,1970,1
559,59,1970,1
560,60,1970,3
561,61,1970,1
562,62,1970,1
563,63,1970,3
564,64,1970,3
565,65,1970,1
566,66,1970,1
567,67,1970,1
568,68,1970,1
569,69,1970,1
570,70,1970,3
571,71,1970,1
572,72,1970,1
573,73,1970,1
574,74,1970,5
575,75,1970,1
576,76,1970,1
577,77,1970,3
578,78,1970,1
579,79,1970,3
580,80,1970,1
581,81,1970,3
582,82,1970,1
583,83,1970,3
584,84,1970,NA
585,85,1970,3
586,86,1970,3
587,87,1970,3
588,88,1970,1
589,89,1970,1
590,90,1970,1
591,91,1970,3
592,92,1970,1
593,93,1970,3
594,94,1970,3
595,95,1970,1
596,96,1970,1
597,97,1970,1
598,98,1970,1
599,99,1970,1
600,100,1970,1
601,1,1971,1
602,2,1971,NA
603,3,1971,NA
604,4,1971,3
605,5,1971,1
606,6,1971,NA
607,7,1971,1
608,8,1971,1
609,9,1971,3
610,10,1971,3
611,11,1971,1
612,12,1971,1
613,13,1971,3
614,14,1971,1
615,15,1971,3
616,16,1971,1
617,17,1971,1
618,18,1971,3
619,19,1971,1
620,20,1971,1
621,21,1971,1
622,22,1971,5
623,23,1971,1
624,24,1971,1
625,25,1971,1
626,26,1971,NA
627,27,1971,NA
628,28,1971,1
629,29,1971,3
630,30,1971,1
631,31,1971,1
632,32,1971,3
633,33,1971,1
634,34,1971,NA
635,35,1971,1
636,36,1971,3
637,37,1971,1
638,38,1971,1
639,39,1971,3
640,40,1971,3
641,41,1971,1
642,42,1971,5
643,43,1971,1
644,44,1971,1
645,45,1971,3
646,46,1971,1
647,47,1971,1
648,48,1971,1
649,49,1971,1
650,50,1971,5
651,51,1971,1
652,52,1971,1
653,53,1971,1
654,54,1971,3
655,55,1971,3
656,56,1971,NA
657,57,1971,1
658,58,1971,3
659,59,1971,1
660,60,1971,NA
661,61,1971,1
662,62,1971,1
663,63,1971,3
664,64,1971,NA
665,65,1971,3
666,66,1971,1
667,67,1971,3
668,68,1971,1
669,69,1971,1
670,70,1971,NA
671,71,1971,3
672,72,1971,3
673,73,1971,1
674,74,1971,1
675,75,1971,3
676,76,1971,1
677,77,1971,1
678,78,1971,1
679,79,1971,3
680,80,1971,1
681,81,1971,1
682,82,1971,1
683,83,1971,3
684,84,1971,3
685,85,1971,3
686,86,1971,3
687,87,1971,3
688,88,1971,1
689,89,1971,1
690,90,1971,3
691,91,1971,NA
692,92,1971,3
693,93,1971,1
694,94,1971,1
695,95,1971,3
696,96,1971,3
697,97,1971,NA
698,98,1971,3
699,99,1971,1
700,100,1971,1
701,1,1972,1
702,2,1972,1
703,3,1972,1
704,4,1972,1
705,5,1972,NA
706,6,1972,1
707,7,1972,1
708,8,1972,1
709,9,1972,1
710,10,1972,1
711,11,1972,1
712,12,1972,1
713,13,1972,1
714,14,1972,3
715,15,1972,NA
716,16,1972,5
717,17,1972,1
718,18,1972,1
719,19,1972,1
720,20,1972,1
721,21,1972,3
722,22,1972,NA
723,23,1972,1
724,24,1972,3
725,25,1972,3
726,26,1972,1
727,27,1972,1
728,28,1972,3
729,29,1972,3
730,30,1972,3
731,31,1972,1
732,32,1972,3
733,33,1972,3
734,34,1972,3
735,35,1972,1
736,36,1972,3
737,37,1972,1
738,38,1972,3
739,39,1972,1
740,40,1972,1
741,41,1972,1
742,42,1972,3
743,43,1972,3
744,44,1972,1
745,45,1972,1
746,46,1972,3
747,47,1972,1
748,48,1972,1
749,49,1972,1
750,50,1972,1
751,51,1972,1
752,52,1972,1
753,53,1972,1
754,54,1972,1
755,55,1972,1
756,56,1972,1
757,57,1972,1
758,58,1972,3
759,59,1972,1
760,60,1972,3
761,61,1972,1
762,62,1972,1
763,63,1972,1
764,64,1972,NA
765,65,1972,1
766,66,1972,1
767,67,1972,1
768,68,1972,1
769,69,1972,3
770,70,1972,NA
771,71,1972,1
772,72,1972,1
773,73,1972,1
774,74,1972,1
775,75,1972,1
776,76,1972,1
777,77,1972,3
778,78,1972,1
779,79,1972,3
780,80,1972,5
781,81,1972,3
782,82,1972,1
783,83,1972,3
784,84,1972,NA
785,85,1972,1
786,86,1972,5
787,87,1972,1
788,88,1972,1
789,89,1972,3
790,90,1972,NA
791,91,1972,1
792,92,1972,1
793,93,1972,NA
794,94,1972,1
795,95,1972,3
796,96,1972,1
797,97,1972,NA
798,98,1972,3
799,99,1972,1
800,100,1972,1
801,1,1973,3
802,2,1973,1
803,3,1973,1
804,4,1973,1
805,5,1973,3
806,6,1973,1
807,7,1973,1
808,8,1973,1
809,9,1973,1
810,10,1973,1
811,11,1973,1
812,12,1973,3
813,13,1973,1
814,14,1973,1
815,15,1973,1
816,16,1973,3
817,17,1973,1
818,18,1973,3
819,19,1973,1
820,20,1973,1
821,21,1973,1
822,22,1973,1
823,23,1973,1
824,24,1973,1
825,25,1973,1
826,26,1973,1
827,27,1973,1
828,28,1973,1
829,29,1973,1
830,30,1973,1
831,31,1973,1
832,32,1973,1
833,33,1973,1
834,34,1973,3
835,35,1973,1
836,36,1973,3
837,37,1973,1
838,38,1973,3
839,39,1973,1
840,40,1973,3
841,41,1973,1
842,42,1973,1
843,43,1973,3
844,44,1973,5
845,45,1973,3
846,46,1973,5
847,47,1973,1
848,48,1973,1
849,49,1973,3
850,50,1973,1
851,51,1973,3
852,52,1973,3
853,53,1973,NA
854,54,1973,1
855,55,1973,3
856,56,1973,3
857,57,1973,1
858,58,1973,5
859,59,1973,1
860,60,1973,1
861,61,1973,NA
862,62,1973,1
863,63,1973,3
864,64,1973,1
865,65,1973,1
866,66,1973,1
867,67,1973,3
868,68,1973,1
869,69,1973,3
870,70,1973,1
871,71,1973,1
872,72,1973,1
873,73,1973,1
874,74,1973,1
875,75,1973,1
876,76,1973,1
877,77,1973,1
878,78,1973,1
879,79,1973,3
880,80,1973,3
881,81,1973,3
882,82,1973,1
883,83,1973,1
884,84,1973,1
885,85,1973,3
886,86,1973,3
887,87,1973,1
888,88,1973,3
889,89,1973,3
890,90,1973,3
891,91,1973,3
892,92,1973,1
893,93,1973,1
894,94,1973,1
895,95,1973,3
896,96,1973,1
897,97,1973,1
898,98,1973,1
899,99,1973,1
900,100,1973,3
901,1,1974,1
902,2,1974,1
903,3,1974,NA
904,4,1974,1
905,5,1974,3
906,6,1974,1
907,7,1974,5
908,8,1974,1
909,9,1974,1
910,10,1974,1
911,11,1974,NA
912,12,1974,3
913,13,1974,1
914,14,1974,1
915,15,1974,1
916,16,1974,3
917,17,1974,1
918,18,1974,1
919,19,1974,1
920,20,1974,1
921,21,1974,NA
922,22,1974,1
923,23,1974,1
924,24,1974,1
925,25,1974,1
926,26,1974,1
927,27,1974,1
928,28,1974,1
929,29,1974,1
930,30,1974,1
931,31,1974,1
932,32,1974,1
933,33,1974,1
934,34,1974,3
935,35,1974,3
936,36,1974,1
937,37,1974,1
938,38,1974,1
939,39,1974,1
940,40,1974,1
941,41,1974,NA
942,42,1974,1
943,43,1974,3
944,44,1974,1
945,45,1974,1
946,46,1974,1
947,47,1974,NA
948,48,1974,1
949,49,1974,1
950,50,1974,3
951,51,1974,1
952,52,1974,5
953,53,1974,1
954,54,1974,1
955,55,1974,1
956,56,1974,3
957,57,1974,1
958,58,1974,1
959,59,1974,3
960,60,1974,1
961,61,1974,1
962,62,1974,1
963,63,1974,NA
964,64,1974,1
965,65,1974,3
966,66,1974,1
967,67,1974,1
968,68,1974,1
969,69,1974,3
970,70,1974,1
971,71,1974,1
972,72,1974,1
973,73,1974,1
974,74,1974,1
975,75,1974,1
976,76,1974,1
977,77,1974,1
978,78,1974,1
979,79,1974,3
980,80,1974,1
981,81,1974,NA
982,82,1974,1
983,83,1974,1
984,84,1974,3
985,85,1974,1
986,86,1974,5
987,87,1974,3
988,88,1974,1
989,89,1974,1
990,90,1974,1
991,91,1974,1
992,92,1974,3
993,93,1974,1
994,94,1974,5
995,95,1974,1
996,96,1974,1
997,97,1974,1
998,98,1974,1
999,99,1974,3
1000,100,1974,3
1001,1,1975,3
1002,2,1975,1
1003,3,1975,1
1004,4,1975,3
1005,5,1975,1
1006,6,1975,3
1007,7,1975,1
1008,8,1975,1
1009,9,1975,3
1010,10,1975,1
1011,11,1975,1
1012,12,1975,3
1013,13,1975,1
1014,14,1975,1
1015,15,1975,1
1016,16,1975,3
1017,17,1975,1
1018,18,1975,NA
1019,19,1975,1
1020,20,1975,1
1021,21,1975,NA
1022,22,1975,1
1023,23,1975,1
1024,24,1975,5
1025,25,1975,1
1026,26,1975,3
1027,27,1975,1
1028,28,1975,1
1029,29,1975,1
1030,30,1975,1
1031,31,1975,1
1032,32,1975,1
1033,33,1975,1
1034,34,1975,1
1035,35,1975,1
1036,36,1975,1
1037,37,1975,1
1038,38,1975,1
1039,39,1975,1
1040,40,1975,1
1041,41,1975,3
1042,42,1975,NA
1043,43,1975,1
1044,44,1975,3
1045,45,1975,3
1046,46,1975,3
1047,47,1975,1
1048,48,1975,1
1049,49,1975,1
1050,50,1975,1
1051,51,1975,3
1052,52,1975,1
1053,53,1975,3
1054,54,1975,1
1055,55,1975,5
1056,56,1975,1
1057,57,1975,1
1058,58,1975,3
1059,59,1975,5
1060,60,1975,1
1061,61,1975,3
1062,62,1975,1
1063,63,1975,1
1064,64,1975,3
1065,65,1975,1
1066,66,1975,NA
1067,67,1975,1
1068,68,1975,1
1069,69,1975,1
1070,70,1975,1
1071,71,1975,1
1072,72,1975,5
1073,73,1975,3
1074,74,1975,1
1075,75,1975,1
1076,76,1975,3
1077,77,1975,1
1078,78,1975,1
1079,79,1975,1
1080,80,1975,5
1081,81,1975,1
1082,82,1975,1
1083,83,1975,1
1084,84,1975,1
1085,85,1975,3
1086,86,1975,3
1087,87,1975,1
1088,88,1975,5
1089,89,1975,1
1090,90,1975,1
1091,91,1975,1
1092,92,1975,1
1093,93,1975,NA
1094,94,1975,1
1095,95,1975,5
1096,96,1975,1
1097,97,1975,1
1098,98,1975,NA
1099,99,1975,1
1100,100,1975,NA
1101,1,1976,1
1102,2,1976,NA
1103,3,1976,1
1104,4,1976,1
1105,5,1976,1
1106,6,1976,3
1107,7,1976,1
1108,8,1976,1
1109,9,1976,1
1110,10,1976,3
1111,11,1976,3
1112,12,1976,1
1113,13,1976,1
1114,14,1976,1
1115,15,1976,1
1116,16,1976,3
1117,17,1976,1
1118,18,1976,1
1119,19,1976,1
1120,20,1976,1
1121,21,1976,5
1122,22,1976,1
1123,23,1976,1
1124,24,1976,3
1125,25,1976,3
1126,26,1976,3
1127,27,1976,1
1128,28,1976,1
1129,29,1976,1
1130,30,1976,1
1131,31,1976,1
1132,32,1976,1
1133,33,1976,1
1134,34,1976,1
1135,35,1976,1
1136,36,1976,3
1137,37,1976,1
1138,38,1976,3
1139,39,1976,3
1140,40,1976,1
1141,41,1976,1
1142,42,1976,3
1143,43,1976,1
1144,44,1976,1
1145,45,1976,NA
1146,46,1976,1
1147,47,1976,1
1148,48,1976,1
1149,49,1976,1
1150,50,1976,5
1151,51,1976,1
1152,52,1976,1
1153,53,1976,1
1154,54,1976,1
1155,55,1976,1
1156,56,1976,1
1157,57,1976,3
1158,58,1976,1
1159,59,1976,3
1160,60,1976,1
1161,61,1976,5
1162,62,1976,3
1163,63,1976,3
1164,64,1976,1
1165,65,1976,1
1166,66,1976,1
1167,67,1976,3
1168,68,1976,3
1169,69,1976,1
1170,70,1976,1
1171,71,1976,3
1172,72,1976,1
1173,73,1976,3
1174,74,1976,1
1175,75,1976,3
1176,76,1976,3
1177,77,1976,1
1178,78,1976,3
1179,79,1976,1
1180,80,1976,3
1181,81,1976,5
1182,82,1976,1
1183,83,1976,1
1184,84,1976,1
1185,85,1976,1
1186,86,1976,1
1187,87,1976,1
1188,88,1976,1
1189,89,1976,3
1190,90,1976,1
1191,91,1976,1
1192,92,1976,3
1193,93,1976,1
1194,94,1976,3
1195,95,1976,1
1196,96,1976,3
1197,97,1976,NA
1198,98,1976,1
1199,99,1976,3
1200,100,1976,1
1201,1,1977,1
1202,2,1977,1
1203,3,1977,1
1204,4,1977,1
1205,5,1977,3
1206,6,1977,3
1207,7,1977,1
1208,8,1977,NA
1209,9,1977,5
1210,10,1977,3
1211,11,1977,NA
1212,12,1977,1
1213,13,1977,1
1214,14,1977,1
1215,15,1977,1
1216,16,1977,3
1217,17,1977,3
1218,18,1977,1
1219,19,1977,3
1220,20,1977,1
1221,21,1977,NA
1222,22,1977,1
1223,23,1977,3
1224,24,1977,1
1225,25,1977,1
1226,26,1977,1
1227,27,1977,NA
1228,28,1977,1
1229,29,1977,1
1230,30,1977,1
1231,31,1977,1
1232,32,1977,1
1233,33,1977,1
1234,34,1977,1
1235,35,1977,1
1236,36,1977,1
1237,37,1977,1
1238,38,1977,3
1239,39,1977,1
1240,40,1977,3
1241,41,1977,1
1242,42,1977,1
1243,43,1977,1
1244,44,1977,1
1245,45,1977,3
1246,46,1977,3
1247,47,1977,3
1248,48,1977,1
1249,49,1977,NA
1250,50,1977,1
1251,51,1977,1
1252,52,1977,1
1253,53,1977,1
1254,54,1977,3
1255,55,1977,NA
1256,56,1977,1
1257,57,1977,1
1258,58,1977,1
1259,59,1977,3
1260,60,1977,1
1261,61,1977,1
1262,62,1977,1
1263,63,1977,1
1264,64,1977,1
1265,65,1977,1
1266,66,1977,1
1267,67,1977,1
1268,68,1977,1
1269,69,1977,1
1270,70,1977,1
1271,71,1977,NA
1272,72,1977,3
1273,73,1977,NA
1274,74,1977,1
1275,75,1977,3
1276,76,1977,1
1277,77,1977,1
1278,78,1977,1
1279,79,1977,5
1280,80,1977,1
1281,81,1977,1
1282,82,1977,1
1283,83,1977,1
1284,84,1977,1
1285,85,1977,1
1286,86,1977,5
1287,87,1977,1
1288,88,1977,1
1289,89,1977,3
1290,90,1977,1
1291,91,1977,1
1292,92,1977,1
1293,93,1977,1
1294,94,1977,1
1295,95,1977,1
1296,96,1977,5
1297,97,1977,1
1298,98,1977,1
1299,99,1977,3
1300,100,1977,NA
1301,1,1978,1
1302,2,1978,1
1303,3,1978,1
1304,4,1978,1
1305,5,1978,1
1306,6,1978,1
1307,7,1978,1
1308,8,1978,1
1309,9,1978,1
1310,10,1978,1
1311,11,1978,1
1312,12,1978,3
1313,13,1978,NA
1314,14,1978,1
1315,15,1978,1
1316,16,1978,3
1317,17,1978,1
1318,18,1978,1
1319,19,1978,1
1320,20,1978,1
1321,21,1978,1
1322,22,1978,1
1323,23,1978,3
1324,24,1978,1
